Doctor ID,Doctor Name,Location ID,Speciality ID,Is Doctor ACTIVE?,Profile Pic URL,Gender,Years Of Experience,Languages,Profile URL,Actual ID
175558266148374,Lopamudra Pradhan,6849658ccc2d87001db0c238,14,Yes,,,,,,
174980908041268,Anisha Afza,684965a7cfcc9d001d081843,5,Yes,,,,,,
174980907997785,Pavana Prakash,684965a7cfcc9d001d081843,7,Yes,https://doctoronboarding.eka.care/0d81e756-48d4-4700-8560-7ee03740bd80.webp,,,,,
174980907907274,Ramya Shankar,684965a7cfcc9d001d081843,7,Yes,https://doctoronboarding.eka.care/2f57cc80-ce35-4710-afab-da6d695ce6b6.webp,,,,,
174980908105286,Lingaraj Mulage,684965a7cfcc9d001d081843,5,Yes,https://doctoronboarding.eka.care/9d6aa2d6-eec4-482a-a06e-47d0abc376fd.webp,,,,,
174980908068491,Maneesha P H,684965a7cfcc9d001d081843,5,Yes,https://doctoronboarding.eka.care/81314ca5-7604-4972-b513-796a1fa4e0af.webp,,,,,
176059978798863,Aejaz Ahmed,684965a7cfcc9d001d081843,11,Yes,,,,,,
174980907715950,Rashmi Roogi,684965a7cfcc9d001d081843,2,Yes,https://doctoronboarding.eka.care/610f8422-b370-41f4-8f55-e0dc0b5064f6.webp,,,,,
d-1762232698403,Sushma S R,68b19f4b0e860d001d23e342,2,Yes,,,,,,
do1763976520422,Mahendra Kasturi,68b19f4b0e860d001d23e342,11,Yes,,,,,,
175690030027765,Neeraja s,68b19f4b0e860d001d23e342,7,Yes,,,,,,
176059060196864,Vasudevan M,68b19f4b0e860d001d23e342,11,Yes,,,,,,
do1773811279074,Gebin Fredrick Y,68b19f4b0e860d001d23e342,5,Yes,,,,,,
175696604621866,JOYSON S,68b19f4b0e860d001d23e342,11,Yes,,,,,,
175690049037728,Ragadeepthi S,68b19f4b0e860d001d23e342,7,Yes,,,,,,
174980907553895,Venkat S Reddy,684966c2cc2d87001db0c315,11,Yes,https://doctoronboarding.eka.care/b1a10802-4251-4e9d-baed-9fe9c7403131.webp,,,,,
do1769590413760,Ayesha Shaik,684966c2cc2d87001db0c315,6,Yes,,,,,,
174980907166217,Vishnu Sunil B N,684966c2cc2d87001db0c315,3,Yes,https://doctoronboarding.eka.care/ed4504be-78d7-40ca-b3e6-de5de67eee76.webp,,,,,
174980908950934,Chinmaya H L,684966c2cc2d87001db0c315,5,Yes,https://doctoronboarding.eka.care/c41eebdf-9187-49d6-bf5e-686379df7fb5.webp,,,,,
do1774254591867,Sushma P Pampanavar,684966c2cc2d87001db0c315,7,Yes,,,,,,
174980907451897,Syed Faiz,684966c2cc2d87001db0c315,5,Yes,https://doctoronboarding.eka.care/48a7b8ad-b82e-4289-b5b6-cebe4d7e9b96.webp,,,,,
174980907221673,M Vijaya Bharathi,684966c2cc2d87001db0c315,7,Yes,https://doctoronboarding.eka.care/11add316-63bc-45b4-af39-89a4c4a85d2a.webp,,,,,
174980907194389,Sreejaya V K,684966c2cc2d87001db0c315,3,Yes,https://doctoronboarding.eka.care/7f5b5cb2-b666-4387-8316-4fdac2b55bd2.webp,,,,,
do1769590050071,Swathi G T,684966c2cc2d87001db0c315,12,Yes,,,,,,
do1775020258515,Vijayalakshmi Paramesh,684966c2cc2d87001db0c315,6,Yes,,,,,,
174980906541269,Radhika M,68496736cfcc9d001d081919,7,Yes,https://doctoronboarding.eka.care/41441286-9d75-4877-9db1-6d5bd87f1f03.webp,,,,,
174980906503319,Trupti N,68496736cfcc9d001d081919,7,Yes,https://doctoronboarding.eka.care/8532b765-db3e-4f7b-a435-03a4ee998577.webp,,,,,
176007232860375,Seela Vandhana,68496736cfcc9d001d081919,9,Yes,,,,,,
175993042598433,Latha L,68496736cfcc9d001d081919,11,Yes,,,,,,
174980906477118,Rajesh Babu,68496736cfcc9d001d081919,5,Yes,https://doctoronboarding.eka.care/270b17ed-e0a2-4318-a273-ce98525c8a1d.webp,,,,,
175713709295024,Geetha R,684967002399ab001dade3a1,7,Yes,,,,,,
do1764047022819,Gagandeep M Y,684967002399ab001dade3a1,13,Yes,,,,,,
do1769056660042,Achala KP,684967002399ab001dade3a1,7,Yes,,,,,,
174980906717619,Vishnu Vandana,684967002399ab001dade3a1,7,Yes,https://doctoronboarding.eka.care/80600d40-fab3-4d11-bd95-479e1cf2c842.webp,,,,,
174980906638862,Sharath S Ghalige,684967002399ab001dade3a1,5,Yes,,,,,,
174980906673314,Punith S,684967002399ab001dade3a1,5,Yes,https://doctoronboarding.eka.care/4622924e-1329-44cb-b5bc-5e84445c0bec.webp,,,,,
175713694168934,Shradha Malhotra,684967002399ab001dade3a1,13,Yes,,,,,,
174980908170226,Eash Hoskote,684967002399ab001dade3a1,11,Yes,https://doctoronboarding.eka.care/85a6ec7c-e9d6-4c5b-9ed3-84f777de1d64.webp,,,,,
175713702005531,Sweta Choudhary,684967002399ab001dade3a1,2,Yes,,,,,,
175713680144049,Shweta Choudhury,684967002399ab001dade3a1,11,Yes,,,,,,
175517537423089,Maheshwari M,684967002399ab001dade3a1,14,Yes,,,,,,
174980906785439,Maya V Kumar,684967002399ab001dade3a1,7,Yes,https://doctoronboarding.eka.care/2c999f37-41d6-44d6-b80d-32ee9ee2f6f2.webp,,,,,
174980906823770,Gowri M,684967002399ab001dade3a1,7,Yes,https://doctoronboarding.eka.care/a5b8c773-0de1-4857-8045-d5ef9aa9f382.webp,,,,,
d-1761800445292,Ayesha Gulzar Ahamed,684965a7cfcc9d001d081843,7,Yes,,,,,,
175999632375887,Padma S,684965a7cfcc9d001d081843,7,Yes,,,,,,
174980907633935,Nagesh Mruthyunjaya,684965a7cfcc9d001d081843,13,Yes,https://doctoronboarding.eka.care/f1a3297f-6407-40d3-bb85-4bdf8710729f.webp,,,,,
175999639576153,Nagendra Prasad,684965a7cfcc9d001d081843,7,Yes,,,,,,
176007142960632,Chandan G D,684965a7cfcc9d001d081843,8,Yes,,,,,,
174980907661924,Meghana Kulkarni,684965a7cfcc9d001d081843,13,Yes,,,,,,
175637416808188,Harshitha N,684965a7cfcc9d001d081843,7,Yes,,,,,,
175136664940161,Bhavya Vays,,1,Yes,,,,,,
do1774501550899,Nabila Rahman,,6,Yes,,,,,,
174980906903787,Avinash B S,684966e2cfcc9d001d0818e4,5,Yes,https://doctoronboarding.eka.care/c1af36bc-2415-4478-a86c-50284774e49c.webp,,,,,
176007296619574,Sunil S Raikar,684966e2cfcc9d001d0818e4,11,Yes,,,,,,
174980906957682,Murali Mohan Voona,684966e2cfcc9d001d0818e4,5,Yes,https://doctoronboarding.eka.care/806102d8-5bd5-49b1-b1fe-f79c52671cf0.webp,,,,,
174980906982517,Lakshmi Devi M,684966e2cfcc9d001d0818e4,7,Yes,https://doctoronboarding.eka.care/9770c6a7-94c2-4e79-99bb-06873311f4a8.webp,,,,,
176007366423976,Sushmitha S,684966e2cfcc9d001d0818e4,11,Yes,,,,,,
174980907008528,Amulya B,684966e2cfcc9d001d0818e4,7,Yes,https://doctoronboarding.eka.care/7222bd3e-8a6c-42f9-a8ee-8e4b57538aa3.webp,,,,,
174980906931643,Sunil Kumar,684966e2cfcc9d001d0818e4,5,Yes,https://doctoronboarding.eka.care/40b9943d-8a2d-469a-adf1-2fc706ccd5d6.webp,,,,,
174980907037557,Sharvani O,684966e2cfcc9d001d0818e4,7,Yes,https://doctoronboarding.eka.care/3218d29a-b931-4eec-9d80-d6818c5266e3.webp,,,,,
174980906876938,Sneha M,684966e2cfcc9d001d0818e4,5,Yes,https://doctoronboarding.eka.care/a2e2fa71-50d1-48e2-8df1-949e8e824b9a.webp,,,,,
